# Catálogo Bluefishing.cl
# Formato: Nombre | Precio | Categoría | URL

TSURINOYA Carrete de pesca Jaguar 4000 | $109.990 | Carretes | https://bluefishing.cl/producto/tsurinoya-carrete-de-pesca-jaguar-4000/
TSURINOYA Caña PROFLEX 632UL Spinning | $64.990 | Cañas | https://bluefishing.cl/producto/tsurinoya-cana-proflex-632ul-spinning/
TSURINOYA Caña DRAGON S602UL Spinning | $79.990 | Cañas | https://bluefishing.cl/producto/tsurinoya-cana-dragon-s602ul-spinning/
BADFISH caña Chacao Popping Rods 30-80g | $69.990 | Marcas > BADFISH | https://bluefishing.cl/producto/badfish-cana-chacao-popping-rods-30-80g/
BADFISH caña Graphite ELITE 10-32 g | $109.990 | Marcas > BADFISH | https://bluefishing.cl/producto/badfish-cana-graphite-elite-10-32-g/
TSURINOYA Caña Seriola Jigging, 250 gr | $99.990 | Cañas | https://bluefishing.cl/producto/tsurinoya-cana-seriola-jigging-250-gr/
TSURINOYA Caña Struggle S912M Spinning | $149.990 | Cañas | https://bluefishing.cl/producto/tsurinoya-cana-struggle-s912m-spinning/
Yamaga Blanks Early for surf 105MH Limited | $499.990 | Cañas | https://bluefishing.cl/producto/yamaga-blanks-early-for-surf-105mh-limited/
YAMAGA BLANKS Caña Early for Surf 105MH ,Spinning | $369.990 | Cañas | https://bluefishing.cl/producto/yamaga-blanks-cana-early-for-surf-105mh-spinning/
Yamaga Blancks Caña Early For SeaBass 97MMH | $369.990 | Cañas | https://bluefishing.cl/producto/yamaga-blancks-cana-early-for-seabass-97mmh/
Yamaga Blanks Early For Surf 109MMH | $469.990 | Cañas | https://bluefishing.cl/producto/yamaga-blanks-early-for-surf-109mmh/
YAMAGA BLANKS Caña Early for Surf 103M Limited | $499.990 | Cañas | https://bluefishing.cl/producto/yamaga-blanks-cana-early-for-surf-103m-limited/
BKK Jockey TUNA TRUCKER HAT Blue | $24.990 | Marcas > BKK | https://bluefishing.cl/producto/bkk-jockey-tuna-trucker-hat-blue/
TSURINOYA Carrete de pesca DARK WOLF DF-50L | $99.990 | Carretes > Baitcasting | https://bluefishing.cl/producto/tsurinoya-carrete-de-pesca-dark-wolf-df-50l/
YAMAGA BLANKS Ballistick 102MH TZ NANO | $599.990 | Cañas | https://bluefishing.cl/producto/yamaga-blanks-ballistick-102mh-tz-nano/
Yamaga Blanks Early for Mobile 96MMH | $449.990 | Cañas | https://bluefishing.cl/producto/yamaga-blanks-early-for-mobile-96mmh/
TSURINOYA Carrete de pesca FS | $73.990 | Carretes | https://bluefishing.cl/producto/tsurinoya-carrete-de-pesca-fs/
TSURINOYA Caña MYSTERY 802M | $89.990 | Cañas | https://bluefishing.cl/producto/tsurinoya-cana-mystery-802m/
YAMAGA BLANKS Ballistick 96MMH TZ NANO | $599.990 | Cañas | https://bluefishing.cl/producto/yamaga-blanks-ballistick-96mmh-tz-nano/
BKK-Guante de pesca Medio Dedo M | $19.990 | Marcas > BKK | https://bluefishing.cl/producto/bkk-guante-de-pesca-medio-dedo-m/
TSURINOYA Carrete de pesca NA 2000 | $49.990 | Carretes | https://bluefishing.cl/producto/tsurinoya-carrete-de-pesca-na-2000/
BKK Jockey LOGO FIVE-PANEL HAT | $24.990 | Marcas > BKK | https://bluefishing.cl/producto/bkk-jockey-logo-five-panel-hat/
TSURINOYA Caña MYSTERY 902MHS | $89.990 | Cañas | https://bluefishing.cl/producto/tsurinoya-cana-mystery-902mhs/
TSURINOYA Carrete de Pesca Brown Bear 4000 | $129.990 | Carretes | https://bluefishing.cl/producto/tsurinoya-carrete-de-pesca-brown-bear-4000/
TSURINOYA Caña Struggle S972Ml | $129.990 | Cañas | https://bluefishing.cl/producto/tsurinoya-cana-struggle-s972ml/
TSURINOYACaña Struggle S1062M | $139.990 | Cañas | https://bluefishing.cl/producto/tsurinoyacana-struggle-s1062m/
BKK- Caja de pesca OCD | $19.990 | Marcas > BKK | https://bluefishing.cl/producto/bkk-caja-de-pesca-ocd/
TSURINOYA Caña de pescar Dragon 532ULS SPINNING | $79.990 | Cañas | https://bluefishing.cl/producto/tsurinoya-cana-de-pescar-dragon-532uls-spinning/
YAMAGA BLANKS Caña Early for Surf 103M | $379.990 | Cañas | https://bluefishing.cl/producto/yamaga-blanks-cana-early-for-surf-103m/
YAMAGA BLANKS Early for Rock 104H | $499.990 | Cañas | https://bluefishing.cl/producto/yamaga-blanks-early-for-rock-104h/
YAMAGA BLANKS Caña Early SeaWalk Taijigging 63M, Jigging | $489.990 | Cañas | https://bluefishing.cl/producto/yamaga-blanks-cana-early-seawalk-taijigging-63m-jigging/
YAMAGA BLANKS Caña Early 105MMH/B- Casting | $499.990 | Cañas | https://bluefishing.cl/producto/yamaga-blanks-cana-early-105mmhb-casting/
BADFISH caña Graphite Slow S562 30-300g | $79.990 | Marcas > BADFISH | https://bluefishing.cl/producto/badfish-cana-graphite-slow-s562-30-300g/
TSURINOYA Carrete de pesca Jaguar 1000 | $89.990 | Carretes | https://bluefishing.cl/producto/tsurinoya-carrete-de-pesca-jaguar-1000/
YAMAGA BLANKS Blue Sniper 100M | $499.990 | Cañas | https://bluefishing.cl/producto/yamaga-blanks-blue-sniper-100m/
YAMAGA BLANKS Blue Sniper 100MH NANO | $549.990 | Cañas | https://bluefishing.cl/producto/yamaga-blanks-blue-sniper-100mh-nano/
BADFISH Chaqueta de pesca Floating | $69.990 | Marcas > BADFISH | https://bluefishing.cl/producto/badfish-chaqueta-de-pesca-floating/
DAIWA Carrete Laguna LT 2000 | $60.990 | Carretes | https://bluefishing.cl/producto/daiwa-carrete-laguna-lt-2000/
DAIWA Carrete Crossfire lt 4000-C | $60.990 | Carretes | https://bluefishing.cl/producto/daiwa-carrete-crossfire-lt-4000-c/
DAIWA Carrete Revros lt 5000 | $99.990 | Carretes | https://bluefishing.cl/producto/daiwa-carrete-revros-lt-5000/
